"geoid","latitude","longitude","district","loc"
"41ae7aa1-051b-4053-a6c9-7538c3e8fabc",17.426227569580078,78.4074935913086,Metropolitian ,"010100000000000060149A5340000000401D6D3140"
"39434f5a-4a0b-4f3b-b32b-45266a54aa7a",22.552671432495117,88.3528823852539,Urban ,"0101000000000000A095165640000000E07B8D3640"
c8615b5b-fa3d-4cce-a014-818484fac5ee,18.563934326171875,73.91536712646484,Metropolitian ,"010100000000000060957A5240000000005E903240"
abdb483a-ac00-472f-9cdb-a4b017bec359,23.357803344726562,85.32514953613281,Metropolitian ,"010100000000000040CF54554000000000995B3740"
a150cf6d-9b6b-4336-8a9f-0af0665084b4,11.003668785095215,76.97649383544922,Metropolitian ,"0101000000000000E07E3E5340000000E0E0012640"
dd953232-df0e-4723-bfb4-ba480d2fe7d1,12.98604679107666,80.2181167602539,Metropolitian ,"0101000000000000A0F50D544000000020DBF82940"
d7809af4-4f2e-4b1b-9d90-ac9ecd46ef2a,19.221315383911133,72.86238098144531,Metropolitian ,"0101000000000000403137524000000020A8383340"
"6364439a-71f6-45a0-b62b-4e774ffd1798",13.0058012008667,80.25074768066406,Metropolitian ,"0101000000000000400C10544000000060F8022A40"
a078c280-4dfb-48af-aec5-ea22ccc8745a,26.84959602355957,75.8005142211914,Urban ,"0101000000000000A03BF35240000000207FD93A40"
c9523a4e-9a45-4542-ab1f-217f6d55deea,21.1605224609375,72.77147674560547,Metropolitian ,"0101000000000000E05F3152400000000018293540"
c71245d1-e947-4bcd-8f88-3fbb74e5f975,21.17106056213379,72.78929138183594,Metropolitian ,"0101000000000000C083325240000000A0CA2B3540"
bf1bfb74-bd6b-4183-821f-493a50a66d92,21.1868839263916,72.79361724853516,Urban ,"0101000000000000A0CA325240000000A0D72F3540"
e546261a-e23a-43e8-a1d6-74a424d79d6e,19.065837860107422,72.83265686035156,Metropolitian ,"0101000000000000404A355240000000C0DA103340"
"729b1d0e-93d7-458c-953f-1875b5d05e78",22.75004005432129,75.90284729003906,Metropolitian ,"010100000000000040C8F95240000000A002C03640"
"47334718-a4ca-4e5e-a2e7-ff0468835dec",30.366321563720703,78.07044982910156,Metropolitian ,"0101000000000000408284534000000040C75D3E40"
"4459d95f-fb1e-4953-a7a6-d6c65fc1c4ae",-10.028046607971191,76.31002044677734,Metropolitian ,"010100000000000060D7135340000000205C0E24C0"
abb5ee1f-d49f-4f61-8c7a-ee47863a396b,-19.87610626220703,75.34077453613281,Urban ,"010100000000000040CFD552400000008048E033C0"
"74b1ddf1-209e-46f3-8219-d4a0f73ec184",26.469999313354492,80.3499984741211,Metropolitian ,"01010000000000006066165440000000E051783A40"
"92bc82e1-cf7a-4c2e-aba4-8647d040e23a",-26.913726806640625,75.75282287597656,Metropolitian ,"0101000000000000402EF0524000000000EAE93AC0"
eae9d91b-ae01-4c4a-b5f1-83607e7064a2,-22.31032943725586,-73.16908264160156,Metropolitian ,"010100000000000040D24A52C0000000C0714F36C0"
"10f40639-2c29-4a54-b8e1-83ebed0ea020",-23.234249114990234,-77.43400573730469,Metropolitian ,"0101000000000000C0C65B53C0000000C0F73B37C0"
a1af2630-30ae-4871-9000-48b4c545e7dc,-25.452350616455078,-81.84188842773438,Metropolitian ,"010100000000000080E17554C000000040CD7339C0"
"21796200-cf36-4eba-960d-da634afc93ef",-26.766536712646484,75.83733367919922,Urban ,"0101000000000000E096F55240000000C03BC43AC0"
"78b3458a-33a4-41eb-944e-161721f8cd16",-12.326355934143066,-76.61910247802734,Metropolitian ,"0101000000000000609F2753C00000002018A728C0"
b4ec581d-fb4c-4dbe-a55d-61c54d53a066,-13.022394180297852,-80.24243927001953,Metropolitian ,"010100000000000020840F54C000000040770B2AC0"
f43a0335-d2b6-4f75-85f7-a49fa5e573b6,-9.960845947265625,-76.29393768310547,Metropolitian ,"0101000000000000E0CF1253C000000000F4EB23C0"
f9727129-05f9-4e3c-a9ac-cefe594e008b,-12.933298110961914,-77.61429595947266,Metropolitian ,"0101000000000000A0506753C000000040D9DD29C0"
"8585086d-6470-4bea-88df-0e067ec4583a",-26.766536712646484,-75.83733367919922,Metropolitian ,"0101000000000000E096F552C0000000C03BC43AC0"
"0773cdc5-d952-482f-98b4-1810cb015a0c",-22.74504852294922,-75.89247131347656,Metropolitian ,"0101000000000000401EF952C000000080BBBE36C0"
"975077f6-eb87-46ac-8c27-fb504cea77a2",-26.921411514282227,-75.7936019897461,Metropolitian ,"010100000000000060CAF252C0000000A0E1EB3AC0"
c544f337-6b1f-4233-898f-234207dd734c,-23.3748779296875,85.33573913574219,Metropolitian ,"0101000000000000C07C55554000000000F85F37C0"
fcc9d3d7-d201-4055-ad6c-249a499805a8,-12.906229019165039,-77.59679412841797,Metropolitian ,"0101000000000000E0316653C000000040FDCF29C0"
"2c6565ff-74aa-4652-9216-cda594da8753",-13.044693946838379,-80.26146697998047,Urban ,"0101000000000000E0BB1054C000000020E2162AC0"
c3dee740-8a71-4dae-ac73-011caf66f8c0,-13.045478820800781,-80.23310852050781,Metropolitian ,"010100000000000040EB0E54C00000000049172AC0"
d05e1032-9370-4ffd-8c0a-ceee28a0b684,-12.980409622192383,-77.64048767089844,Metropolitian ,"0101000000000000C0FD6853C000000040F8F529C0"
e4a90cdf-3983-4ed4-af36-b61a482f6e23,-13.086438179016113,-80.22067260742188,Urban ,"0101000000000000801F0E54C0000000A0412C2AC0"
d9abcccb-23bb-44cd-b784-f59479c41c32,-26.90294075012207,-75.79300689697266,Urban ,"0101000000000000A0C0F252C00000002027E73AC0"
"67683361-67c8-4047-8619-e91c554bb897",-23.3697452545166,-85.3398208618164,Metropolitian ,"0101000000000000A0BF5555C0000000A0A75E37C0"
"999a6d42-a131-4559-9006-359d082c42f4",-22.75123405456543,75.88948822021484,Metropolitian ,"010100000000000060EDF85240000000E050C036C0"
